fecha,escenario,variable,valor,unidad,fuente,modulo_origen,fecha_generacion
2027-09-01,baseline_var,crecimiento,3.9191539553783694,porcentaje,VAR multivariado,M3,2026-05-05
2027-09-01,baseline_var,inflacion,4.016786386339757,porcentaje,VAR multivariado,M3,2026-05-05
2027-09-01,baseline_var,interbancaria,7.648390107231063,porcentaje,VAR multivariado,M3,2026-05-05
2027-09-01,baseline_var,deprec_fx,3.9986885410719903,porcentaje,VAR multivariado,M3,2026-05-05
2027-09-01,baseline_var,embi,3.9982708168249617,puntos_base,VAR multivariado,M3,2026-05-05
2027-10-01,baseline_var,crecimiento,3.969037396939078,porcentaje,VAR multivariado,M3,2026-05-05
2027-10-01,baseline_var,inflacion,4.018689291426529,porcentaje,VAR multivariado,M3,2026-05-05
2027-10-01,baseline_var,interbancaria,7.602068642027084,porcentaje,VAR multivariado,M3,2026-05-05
2027-10-01,baseline_var,deprec_fx,3.9824567362510512,porcentaje,VAR multivariado,M3,2026-05-05
2027-10-01,baseline_var,embi,3.9756325657979716,puntos_base,VAR multivariado,M3,2026-05-05
2027-11-01,baseline_var,crecimiento,4.0165561633008835,porcentaje,VAR multivariado,M3,2026-05-05
2027-11-01,baseline_var,inflacion,4.024129183858044,porcentaje,VAR multivariado,M3,2026-05-05
2027-11-01,baseline_var,interbancaria,7.560682618565724,porcentaje,VAR multivariado,M3,2026-05-05
2027-11-01,baseline_var,deprec_fx,3.9645583404088276,porcentaje,VAR multivariado,M3,2026-05-05
2027-11-01,baseline_var,embi,3.9545134016433487,puntos_base,VAR multivariado,M3,2026-05-05
2027-12-01,baseline_var,crecimiento,4.06112393585544,porcentaje,VAR multivariado,M3,2026-05-05
2027-12-01,baseline_var,inflacion,4.032436876885763,porcentaje,VAR multivariado,M3,2026-05-05
2027-12-01,baseline_var,interbancaria,7.524215006931411,porcentaje,VAR multivariado,M3,2026-05-05
2027-12-01,baseline_var,deprec_fx,3.9453724569271653,porcentaje,VAR multivariado,M3,2026-05-05
2027-12-01,baseline_var,embi,3.935247483474449,puntos_base,VAR multivariado,M3,2026-05-05
2026-01-01,montecarlo_p05,crecimiento,-2.3737022840581083,porcentaje,VAR + Monte Carlo,M3,2026-05-05
2026-01-01,montecarlo_p05,inflacion,3.9219108753417555,porcentaje,VAR + Monte Carlo,M3,2026-05-05
2026-01-01,montecarlo_p05,interbancaria,6.174034217977491,porcentaje,VAR + Monte Carlo,M3,2026-05-05
2026-01-01,montecarlo_p05,deprec_fx,2.6779033428554087,porcentaje,VAR + Monte Carlo,M3,2026-05-05
2026-01-01,montecarlo_p05,embi,0.9359496997192416,puntos_base,VAR + Monte Carlo,M3,2026-05-05
2026-02-01,montecarlo_p05,crecimiento,-3.3934500292112197,porcentaje,VAR + Monte Carlo,M3,2026-05-05
2026-02-01,montecarlo_p05,inflacion,3.161996684071198,porcentaje,VAR + Monte Carlo,M3,2026-05-05
2026-02-01,montecarlo_p05,interbancaria,5.92679751468698,porcentaje,VAR + Monte Carlo,M3,2026-05-05
2026-02-01,montecarlo_p05,deprec_fx,1.857822825342873,porcentaje,VAR + Monte Carlo,M3,2026-05-05
2026-02-01,montecarlo_p05,embi,0.6696021846514784,puntos_base,VAR + Monte Carlo,M3,2026-05-05
2026-03-01,montecarlo_p05,crecimiento,-3.9432010420372303,porcentaje,VAR + Monte Carlo,M3,2026-05-05
2026-03-01,montecarlo_p05,inflacion,2.506813457333323,porcentaje,VAR + Monte Carlo,M3,2026-05-05
2026-03-01,montecarlo_p05,interbancaria,5.870417761199846,porcentaje,VAR + Monte Carlo,M3,2026-05-05
2026-03-01,montecarlo_p05,deprec_fx,1.2685945133296606,porcentaje,VAR + Monte Carlo,M3,2026-05-05
2026-03-01,montecarlo_p05,embi,0.6276744900779632,puntos_base,VAR + Monte Carlo,M3,2026-05-05
2026-04-01,montecarlo_p05,crecimiento,-4.406777448328091,porcentaje,VAR + Monte Carlo,M3,2026-05-05
2026-04-01,montecarlo_p05,inflacion,1.9611807065374924,porcentaje,VAR + Monte Carlo,M3,2026-05-05
2026-04-01,montecarlo_p05,interbancaria,5.805805603931521,porcentaje,VAR + Monte Carlo,M3,2026-05-05
2026-04-01,montecarlo_p05,deprec_fx,0.8925906926692366,porcentaje,VAR + Monte Carlo,M3,2026-05-05
