instrumento,fund,rate,mes,year
Certificados Inversión Especial BCRD2,ROMANA,9.790000000000001,8,2017
Certificados Inversión Especial BCRD2,SCOTIA_CRECER,9.84,8,2017
Certificados Inversión Especial BCRD2,SIEMBRA,10.280000000000001,8,2017
Certificados Inversión Especial BCRD2,RESERVAS-R3,9.98,8,2017
Certificados Inversión Especial BCRD2,BANCO_CENTRAL-R3,10.14,8,2017
Certificados Inversión Especial BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,10.22,8,2017
Letras BCRD2,ATLÁNTICO,NA,8,2017
Letras BCRD2,POPULAR,8.64,8,2017
Letras BCRD2,RESERVAS,NA,8,2017
Letras BCRD2,ROMANA,NA,8,2017
Letras BCRD2,SCOTIA_CRECER,NA,8,2017
Letras BCRD2,SIEMBRA,NA,8,2017
Letras BCRD2,RESERVAS-R3,NA,8,2017
Letras BCRD2,BANCO_CENTRAL-R3,NA,8,2017
Letras BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,NA,8,2017
Notas BCRD2,ATLÁNTICO,10.34,8,2017
Notas BCRD2,POPULAR,10.15,8,2017
Notas BCRD2,RESERVAS,10.18,8,2017
Notas BCRD2,ROMANA,9.98,8,2017
Notas BCRD2,SCOTIA_CRECER,10.08,8,2017
Notas BCRD2,SIEMBRA,10.27,8,2017
Notas BCRD2,RESERVAS-R3,10.18,8,2017
Notas BCRD2,BANCO_CENTRAL-R3,10.13,8,2017
Notas BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,10.13,8,2017
Bonos Ministerio de Hacienda,ATLÁNTICO,10.73,7,2017
Bonos Ministerio de Hacienda,POPULAR,9.64,7,2017
Bonos Ministerio de Hacienda,RESERVAS,9.85,7,2017
Bonos Ministerio de Hacienda,ROMANA,10.86,7,2017
Bonos Ministerio de Hacienda,SCOTIA_CRECER,9.93,7,2017
Bonos Ministerio de Hacienda,SIEMBRA,9.11,7,2017
Bonos Ministerio de Hacienda,RESERVAS-R3,10.39,7,2017
Bonos Ministerio de Hacienda,BANCO_CENTRAL-R3,9.94,7,2017
Bonos Ministerio de Hacienda,FONDO_DE_SOLIDARIDAD_SOCIAL,9.629999999999999,7,2017
Bonos EIF 1,ATLÁNTICO,10.47,7,2017
Bonos EIF 1,POPULAR,9.959999999999999,7,2017
Bonos EIF 1,RESERVAS,9.75,7,2017
Bonos EIF 1,ROMANA,NA,7,2017
Bonos EIF 1,SCOTIA_CRECER,10.12,7,2017
Bonos EIF 1,SIEMBRA,9.91,7,2017
Bonos EIF 1,RESERVAS-R3,9.87,7,2017
Bonos EIF 1,BANCO_CENTRAL-R3,NA,7,2017
Bonos EIF 1,FONDO_DE_SOLIDARIDAD_SOCIAL,10.15,7,2017
Certificados de Depósito EIF1,ATLÁNTICO,8.959999999999999,7,2017
Certificados de Depósito EIF1,POPULAR,8.42,7,2017
Certificados de Depósito EIF1,RESERVAS,6.529999999999999,7,2017
Certificados de Depósito EIF1,ROMANA,9.71,7,2017
Certificados de Depósito EIF1,SCOTIA_CRECER,8.91,7,2017
Certificados de Depósito EIF1,SIEMBRA,6.4,7,2017
Certificados de Depósito EIF1,RESERVAS-R3,6.41,7,2017
Certificados de Depósito EIF1,BANCO_CENTRAL-R3,9.66,7,2017
Certificados de Depósito EIF1,FONDO_DE_SOLIDARIDAD_SOCIAL,5.63,7,2017
Certificados Inversión Especial BCRD2,ATLÁNTICO,10.67,7,2017
Certificados Inversión Especial BCRD2,POPULAR,9.78,7,2017
Certificados Inversión Especial BCRD2,RESERVAS,10.08,7,2017
Certificados Inversión Especial BCRD2,ROMANA,9.75,7,2017
Certificados Inversión Especial BCRD2,SCOTIA_CRECER,9.89,7,2017
Certificados Inversión Especial BCRD2,SIEMBRA,10.48,7,2017
Certificados Inversión Especial BCRD2,RESERVAS-R3,10.12,7,2017
Certificados Inversión Especial BCRD2,BANCO_CENTRAL-R3,10.190000000000001,7,2017
Certificados Inversión Especial BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,10.290000000000001,7,2017
Notas BCRD2,ATLÁNTICO,10.61,7,2017
Notas BCRD2,POPULAR,10.43,7,2017
Notas BCRD2,RESERVAS,10.48,7,2017
Notas BCRD2,ROMANA,10.16,7,2017
Notas BCRD2,SCOTIA_CRECER,10.35,7,2017
Notas BCRD2,SIEMBRA,10.6,7,2017
Notas BCRD2,RESERVAS-R3,10.489999999999998,7,2017
Notas BCRD2,BANCO_CENTRAL-R3,10.459999999999999,7,2017
Notas BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,10.42,7,2017
Bonos Ministerio de Hacienda,ATLÁNTICO,10.79,6,2017
Bonos Ministerio de Hacienda,POPULAR,9.74,6,2017
Bonos Ministerio de Hacienda,RESERVAS,9.83,6,2017
Bonos Ministerio de Hacienda,ROMANA,10.92,6,2017
Bonos Ministerio de Hacienda,SCOTIA_CRECER,9.879999999999999,6,2017
Bonos Ministerio de Hacienda,SIEMBRA,9.08,6,2017
Bonos Ministerio de Hacienda,RESERVAS-R3,10.38,6,2017
Bonos Ministerio de Hacienda,BANCO_CENTRAL-R3,9.93,6,2017
Bonos Ministerio de Hacienda,FONDO_DE_SOLIDARIDAD_SOCIAL,9.610000000000001,6,2017
Bonos EIF 1,ATLÁNTICO,10.61,6,2017
Bonos EIF 1,POPULAR,9.950000000000001,6,2017
Bonos EIF 1,RESERVAS,9.74,6,2017
Bonos EIF 1,ROMANA,NA,6,2017
Bonos EIF 1,SCOTIA_CRECER,10.12,6,2017
Bonos EIF 1,SIEMBRA,9.91,6,2017
Bonos EIF 1,RESERVAS-R3,9.87,6,2017
Bonos EIF 1,BANCO_CENTRAL-R3,NA,6,2017
Bonos EIF 1,FONDO_DE_SOLIDARIDAD_SOCIAL,10.15,6,2017
Certificados de Depósito EIF1,ATLÁNTICO,9.24,6,2017
Certificados de Depósito EIF1,POPULAR,8.690000000000001,6,2017
Certificados de Depósito EIF1,RESERVAS,6.87,6,2017
Certificados de Depósito EIF1,ROMANA,9.81,6,2017
Certificados de Depósito EIF1,SCOTIA_CRECER,8.780000000000001,6,2017
Certificados de Depósito EIF1,SIEMBRA,7.91,6,2017
Certificados de Depósito EIF1,RESERVAS-R3,6.4399999999999995,6,2017
Certificados de Depósito EIF1,BANCO_CENTRAL-R3,9.68,6,2017
Certificados de Depósito EIF1,FONDO_DE_SOLIDARIDAD_SOCIAL,6.35,6,2017
Certificados Inversión Especial BCRD2,ATLÁNTICO,10.67,6,2017
Certificados Inversión Especial BCRD2,POPULAR,9.67,6,2017
Certificados Inversión Especial BCRD2,RESERVAS,10.02,6,2017
Certificados Inversión Especial BCRD2,ROMANA,9.76,6,2017
Certificados Inversión Especial BCRD2,SCOTIA_CRECER,9.85,6,2017
Certificados Inversión Especial BCRD2,SIEMBRA,10.5,6,2017
Certificados Inversión Especial BCRD2,RESERVAS-R3,10.11,6,2017
Certificados Inversión Especial BCRD2,BANCO_CENTRAL-R3,10.11,6,2017
Certificados Inversión Especial BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,10.17,6,2017
Notas BCRD2,ATLÁNTICO,10.6,6,2017
Notas BCRD2,POPULAR,10.290000000000001,6,2017
Notas BCRD2,RESERVAS,10.459999999999999,6,2017
Notas BCRD2,ROMANA,10.16,6,2017
Notas BCRD2,SCOTIA_CRECER,10.280000000000001,6,2017
Notas BCRD2,SIEMBRA,10.6,6,2017
Notas BCRD2,RESERVAS-R3,10.489999999999998,6,2017
Notas BCRD2,BANCO_CENTRAL-R3,10.4,6,2017
Notas BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,10.41,6,2017
Bonos Ministerio de Hacienda,ATLÁNTICO,10.82,5,2017
Bonos Ministerio de Hacienda,POPULAR,9.74,5,2017
Bonos Ministerio de Hacienda,RESERVAS,9.83,5,2017
Bonos Ministerio de Hacienda,ROMANA,10.67,5,2017
Bonos Ministerio de Hacienda,SCOTIA_CRECER,9.879999999999999,5,2017
Bonos Ministerio de Hacienda,SIEMBRA,9.11,5,2017
Bonos Ministerio de Hacienda,RESERVAS-R3,10.38,5,2017
Bonos Ministerio de Hacienda,BANCO_CENTRAL-R3,9.93,5,2017
Bonos Ministerio de Hacienda,FONDO_DE_SOLIDARIDAD_SOCIAL,9.610000000000001,5,2017
Bonos EIF 1,ATLÁNTICO,10.61,5,2017
Bonos EIF 1,POPULAR,10.17,5,2017
Bonos EIF 1,RESERVAS,10.15,5,2017
Bonos EIF 1,ROMANA,NA,5,2017
Bonos EIF 1,SCOTIA_CRECER,10.34,5,2017
Bonos EIF 1,SIEMBRA,10.209999999999999,5,2017
Bonos EIF 1,RESERVAS-R3,10.09,5,2017
Bonos EIF 1,BANCO_CENTRAL-R3,NA,5,2017
Bonos EIF 1,FONDO_DE_SOLIDARIDAD_SOCIAL,10.24,5,2017
Certificados de Depósito EIF1,ATLÁNTICO,9.45,5,2017
Certificados de Depósito EIF1,POPULAR,8.4,5,2017
Certificados de Depósito EIF1,RESERVAS,6.64,5,2017
Certificados de Depósito EIF1,ROMANA,9.78,5,2017
Certificados de Depósito EIF1,SCOTIA_CRECER,8.67,5,2017
Certificados de Depósito EIF1,SIEMBRA,8.7,5,2017
Certificados de Depósito EIF1,RESERVAS-R3,6.47,5,2017
Certificados de Depósito EIF1,BANCO_CENTRAL-R3,9.67,5,2017
Certificados de Depósito EIF1,FONDO_DE_SOLIDARIDAD_SOCIAL,6.370000000000001,5,2017
Certificados Inversión Especial BCRD2,ATLÁNTICO,10.57,5,2017
Certificados Inversión Especial BCRD2,POPULAR,9.67,5,2017
Certificados Inversión Especial BCRD2,RESERVAS,9.98,5,2017
Certificados Inversión Especial BCRD2,ROMANA,9.71,5,2017
Certificados Inversión Especial BCRD2,SCOTIA_CRECER,9.82,5,2017
Certificados Inversión Especial BCRD2,SIEMBRA,10.36,5,2017
Certificados Inversión Especial BCRD2,RESERVAS-R3,10.03,5,2017
